model_name,inchi,smiles,excited,multiplicity,lumped,stereochemistry
CH3CO3,InChI=1S/C2H3O3/c1-2(3)5-4/h1H3,CC(=O)O[O],0,0,0,1
CH3CO3H,"InChI=1S/C2H4O3/c1-2(3)5-4/h4H,1H3",CC(=O)OO,0,0,0,1
C2H3OO,"InChI=1S/C2H3O2/c1-2-4-3/h2H,1H2",C=CO[O],0,0,0,1
C2H3OOH,"InChI=1S/C2H4O2/c1-2-4-3/h2-3H,1H2",C=COO,0,0,0,1
C2H3OH,"InChI=1S/C2H4O/c1-2-3/h2-3H,1H2",C=CO,0,0,0,1
PC2H4OH,"InChI=1S/C2H5O/c1-2-3/h3H,1-2H2",[CH2]CO,0,0,0,1
CHCHO,InChI=1S/C2H2O/c1-2-3/h1-2H,[CH]=C[O],0,0,0,1
CHOCHO,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,O=CC=O,0,0,0,1
C2H,InChI=1S/C2H/c1-2/h1H,C#[C],0,0,0,1
HCCOH,"InChI=1S/C2H2O/c1-2-3/h1,3H",C#CO,0,0,0,1
C2H2OH,InChI=1S/C2H3O/c1-2-3/h1-3H,[CH]=CO,0,0,0,1
HCCO,InChI=1S/C2HO/c1-2-3/h1H,C#C[O],0,0,0,1
C2,InChI=1S/C2/c1-2,[C]#[C],0,0,0,1
C2O,InChI=1S/C2O/c1-2-3,[C]#C[O],0,0,0,1
CH3CHOHOJ,"InChI=1S/C2H5O2/c1-2(3)4/h2-3H,1H3",CC(O)[O],0,0,0,1
CH3COOH,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",CC(O)=O,0,0,0,1
CH2CO2,InChI=1S/C2H2O2/c1-2(3)4/h1H2,C=C([O])[O],0,0,0,1
O2CH2CHO,"InChI=1S/C2H3O3/c3-1-2-5-4/h1H,2H2",O=CCO[O],0,0,0,1
HO2CH2CO,"InChI=1S/C2H3O3/c3-1-2-5-4/h4H,2H2",O=[C]COO,0,0,0,1
CH3CO2,InChI=1S/C2H3O2/c1-2(3)4/h1H3,CC([O])=O,0,0,0,1
CH2COOH,"InChI=1S/C2H3O2/c1-2(3)4/h3H,1H2",C=C(O)[O],0,0,0,1
SC2H4OH,"InChI=1S/C2H5O/c1-2-3/h2-3H,1H3",C[CH]O,0,0,0,1
CH3OCH3,InChI=1S/C2H6O/c1-3-2/h1-2H3,COC,0,0,0,1
CH3OCH2,"InChI=1S/C2H5O/c1-3-2/h1H2,2H3",[CH2]OC,0,0,0,1
CH3OCH2O2H,"InChI=1S/C2H6O3/c1-4-2-5-3/h3H,2H2,1H3",COCOO,0,0,0,1
CH2OCHO,"InChI=1S/C2H3O2/c1-4-2-3/h2H,1H2",[CH2]OC=O,0,0,0,1
CH3OCHO,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",COC=O,0,0,0,1
CH3OCO,InChI=1S/C2H3O2/c1-4-2-3/h1H3,CO[C]=O,0,0,0,1
CH3OCH2O,"InChI=1S/C2H5O2/c1-4-2-3/h2H2,1H3",COC[O],0,0,0,1
OCH2OCHO,"InChI=1S/C2H3O3/c3-1-5-2-4/h1H,2H2",O=COC[O],0,0,0,1
HOCH2OCO,"InChI=1S/C2H3O3/c3-1-5-2-4/h3H,1H2",OCO[C]=O,0,0,0,1
C3H8,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",CCC,0,0,0,1
NC3H7,"InChI=1S/C3H7/c1-3-2/h1,3H2,2H3",[CH2]CC,0,0,0,1
IC3H7,"InChI=1S/C3H7/c1-3-2/h3H,1-2H3",C[CH]C,0,0,0,1
C3H5-A,"InChI=1S/C3H5/c1-3-2/h3H,1-2H2",C=C[CH2],0,0,0,1
C3H5O,"InChI=1S/C3H5O/c1-2-3-4/h2H,1,3H2",C=CC[O],0,0,0,1
C3H6,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",C=CC,0,0,0,1
C3H6OOH1-2,"InChI=1S/C3H7O2/c1-2-3-5-4/h2,4H,3H2,1H3",C[CH]COO,0,0,0,1
C3H6OOH1-3,"InChI=1S/C3H7O2/c1-2-3-5-4/h4H,1-3H2",[CH2]CCOO,0,0,0,1
C3H6O1-2,"InChI=1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3",CC1OC1,0,0,0,1
C3H6OOH2-1,"InChI=1S/C3H7O2/c1-3(2)5-4/h3-4H,1H2,2H3",[CH2]C(C)OO,0,0,0,1
C3H6O1-3,InChI=1S/C3H6O/c1-2-4-3-1/h1-3H2,C1COC1,0,0,0,1
C3H6OOH1-3O2,"InChI=1S/C3H7O4/c4-6-2-1-3-7-5/h4H,1-3H2",OOCCCO[O],0,0,0,1
C3H6OOH1-2O2,"InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3-4H,2H2,1H3",CC(COO)O[O],0,0,0,1
C3H6OOH2-1O2,"InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3,5H,2H2,1H3",CC(CO[O])OO,0,0,0,1
OCHCH2CH2O,"InChI=1S/C3H5O2/c4-2-1-3-5/h2H,1,3H2",O=CCC[O],0,0,0,1
AC3H5OOH,"InChI=1S/C3H6O2/c1-2-3-5-4/h2,4H,1,3H2",C=CCOO,0,0,0,1
C3H5O1-2OOH-3,"InChI=1S/C3H6O3/c4-6-2-3-1-5-3/h3-4H,1-2H2",OOCC1OC1,0,0,0,1
"C3H51-2,3OOH","InChI=1S/C3H7O4/c1-3(7-5)2-6-4/h3-5H,1-2H2",[CH2]C(COO)OO,0,0,0,1
