model_name,inchi,smiles,excited,multiplicity,lumped,stereochemistry
CPNOOH2-5R,"InChI=1S/C5H7O3/c6-4-2-1-3-5(4)8-7/h2,5,7H,1,3H2",[O]C1C(CCC=1)OO,0,0,0,1
CPNOOH3-2R,"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h3,5,7H,1-2H2",[O]C1=CC(CC1)OO,0,0,0,1
CPNOOH3-4R,"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h2,5,7H,1,3H2",O=C1CC([CH]C1)OO,0,0,0,1
CPNOOH3-5R,"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)8-7/h1,5,7H,2-3H2",O=C1CC(C[CH]1)OO,0,0,0,1
CPNO2-3,"InChI=1S/C5H6O2/c6-3-1-2-4-5(3)7-4/h4-5H,1-2H2",O=C1C2OC2CC1,0,0,0,1
CPNO2-4,"InChI=1S/C5H6O2/c6-4-1-3-2-5(4)7-3/h3,5H,1-2H2",O=C1C2OC(C1)C2,0,0,0,1
CPNO2-5,"InChI=1S/C5H6O2/c6-5-3-1-2-4(5)7-3/h3-4H,1-2H2",O=C1C2OC1CC2,0,0,0,1
CPNO3-4,"InChI=1S/C5H6O2/c6-3-1-4-5(2-3)7-4/h4-5H,1-2H2",O=C1CC2OC2C1,0,0,0,1
CPNOOH2-3O2R,"InChI=1S/C5H7O5/c6-3-1-2-4(9-7)5(3)10-8/h4-5,8H,1-2H2",O=C1C(C(CC1)O[O])OO,0,0,0,1
CPNOOH2-4O2R,"InChI=1S/C5H7O5/c6-4-1-3(9-7)2-5(4)10-8/h3,5,8H,1-2H2",O=C1C(CC(C1)O[O])OO,0,0,0,1
CPNOOH2-5O2R,"InChI=1S/C5H7O5/c6-5-3(9-7)1-2-4(5)10-8/h3-4,7H,1-2H2",O=C1C(CCC1OO)O[O],0,0,0,1
CPNOOH3-2O2R,"InChI=1S/C5H7O5/c6-3-1-2-4(9-7)5(3)10-8/h4-5,7H,1-2H2",O=C1C(C(CC1)OO)O[O],0,0,0,1
CPNOOH3-4O2R,"InChI=1S/C5H7O5/c6-3-1-4(9-7)5(2-3)10-8/h4-5,7H,1-2H2",O=C1CC(C(C1)OO)O[O],0,0,0,1
CPNOOH3-5O2R,"InChI=1S/C5H7O5/c6-4-1-3(9-7)2-5(4)10-8/h3,5,7H,1-2H2",O=C1C(CC(C1)OO)O[O],0,0,0,1
CPNKET2-3,"InChI=1S/C5H6O4/c6-3-1-2-4(9-8)5(3)7/h4,8H,1-2H2",O=C1C(C(CC1)OO)=O,0,0,0,1
CPNKET2-4,"InChI=1S/C5H6O4/c6-4-1-3(9-8)2-5(4)7/h3,8H,1-2H2",O=C1C(CC(C1)OO)=O,0,0,0,1
CPNKET3-2,"InChI=1S/C5H6O4/c6-3-1-2-4(7)5(3)9-8/h5,8H,1-2H2",O=C1C(C(CC1)=O)OO,0,0,0,1
CPNKET3-4,"InChI=1S/C5H6O4/c6-3-1-4(7)5(2-3)9-8/h5,8H,1-2H2",O=C1CC(C(C1)=O)OO,0,0,0,1
CPNKET2-3OR,"InChI=1S/C5H5O3/c6-3-1-2-4(7)5(3)8/h3H,1-2H2",[O]C1C(C(CC1)=O)=O,0,0,0,1
CPNKET2-4OR,"InChI=1S/C5H5O3/c6-3-1-4(7)5(8)2-3/h3H,1-2H2",[O]C1CC(C(C1)=O)=O,0,0,0,1
CPNKET3-2OR,"InChI=1S/C5H5O3/c6-3-1-2-4(7)5(3)8/h5H,1-2H2",O=C1C(C(CC1)=O)[O],0,0,0,1
CPNKET3-4OR,"InChI=1S/C5H5O3/c6-3-1-4(7)5(8)2-3/h4H,1-2H2",O=C1CC(C(C1)[O])=O,0,0,0,1
CPND3-2OOH,"InChI=1S/C5H6O3/c6-4-2-1-3-5(4)8-7/h1,3,5,7H,2H2",O=C1C(C=CC1)OO,0,0,0,1
CPND2-5OOH,"InChI=1S/C5H6O3/c6-4-2-1-3-5(4)8-7/h1-2,5,7H,3H2",O=C1C(CC=C1)OO,0,0,0,1
CJVCC(C)VO,"InChI=1S/C4H5O/c1-3-4(2)5/h1,3H,2H3",[CH]=CC(C)=O,0,0,0,1
CPND2-4OOH,"InChI=1S/C5H6O3/c6-4-1-2-5(3-4)8-7/h1-2,5,7H,3H2",O=C1CC(C=C1)OO,0,0,0,1
AC3H5CHCO,"InChI=1S/C5H6O/c1-2-3-4-5-6/h2,4H,1,3H2",C=CCC=C=O,0,0,0,1
C5Y3D14,"InChI=1S/C5H6O/c1-3-5(6)4-2/h3-4H,1-2H2",C=CC(C=C)=O,0,0,0,1
CPND2-4O2R,"InChI=1S/C5H5O3/c6-4-1-2-5(3-4)8-7/h1-2,5H,3H2",O=C1CC(C=C1)O[O],0,0,0,1
CPND2-5O2R,"InChI=1S/C5H5O3/c6-4-2-1-3-5(4)8-7/h1-2,5H,3H2",O=C1C(CC=C1)O[O],0,0,0,1
CPND2OOH4-5R,"InChI=1S/C5H5O3/c6-4-1-2-5(3-4)8-7/h1-3,5,7H",[O]C1=CC(C=C1)OO,0,0,0,1
CPND2OOH5-4R,"InChI=1S/C5H5O3/c6-4-2-1-3-5(4)8-7/h1-3,5,7H",O=C1C([CH]C=C1)OO,0,0,0,1
C5H4O,InChI=1S/C5H4O/c6-5-3-1-2-4-5/h1-4H,O=C1C=CC=C1,0,0,0,1
C5H3O-2,InChI=1S/C5H3O/c6-5-3-1-2-4-5/h1-3H,[O]C1=C=CC=C1,0,0,0,1
C5H3O-3,"InChI=1S/C5H3O/c6-5-3-1-2-4-5/h1,3-4H",O=C1C=C=C[CH]1,0,0,0,1
C5H3O-2O,InChI=1S/C5H3O2/c6-4-2-1-3-5(4)7/h1-3H,O=C1C([CH]C=C1)=O,0,0,0,1
C5H3O-3O,InChI=1S/C5H3O2/c6-4-1-2-5(7)3-4/h1-3H,[O]C1=CC(C=C1)=O,0,0,0,1
C6KET12,"InChI=1S/C6H12O3/c1-2-3-4-6(5-7)9-8/h5-6,8H,2-4H2,1H3",CCCCC(C=O)OO,0,0,0,1
C6KET12O,"InChI=1S/C6H11O2/c1-2-3-4-6(8)5-7/h5-6H,2-4H2,1H3",CCCCC(C=O)[O],0,0,0,1
C6KET13,"InChI=1S/C6H12O3/c1-2-3-6(9-8)4-5-7/h5-6,8H,2-4H2,1H3",CCCC(CC=O)OO,0,0,0,1
C6KET13O,"InChI=1S/C6H11O2/c1-2-3-6(8)4-5-7/h5-6H,2-4H2,1H3",CCCC(CC=O)[O],0,0,0,1
C6KET14,"InChI=1S/C6H12O3/c1-2-6(9-8)4-3-5-7/h5-6,8H,2-4H2,1H3",CCC(CCC=O)OO,0,0,0,1
C6KET14O,"InChI=1S/C6H11O2/c1-2-6(8)4-3-5-7/h5-6H,2-4H2,1H3",CCC(CCC=O)[O],0,0,0,1
C6KET15,"InChI=1S/C6H12O3/c1-6(9-8)4-2-3-5-7/h5-6,8H,2-4H2,1H3",CC(CCCC=O)OO,0,0,0,1
C6KET15O,"InChI=1S/C6H11O2/c1-6(8)4-2-3-5-7/h5-6H,2-4H2,1H3",CC(CCCC=O)[O],0,0,0,1
C6KET21O,"InChI=1S/C6H11O2/c1-2-3-4-6(8)5-7/h2-5H2,1H3",CCCCC(C[O])=O,0,0,0,1
C6KET23,"InChI=1S/C6H12O3/c1-3-4-6(9-8)5(2)7/h6,8H,3-4H2,1-2H3",CCCC(C(C)=O)OO,0,0,0,1
C6KET23O,"InChI=1S/C6H11O2/c1-3-4-6(8)5(2)7/h6H,3-4H2,1-2H3",CCCC(C(C)=O)[O],0,0,0,1
C6KET24,"InChI=1S/C6H12O3/c1-3-6(9-8)4-5(2)7/h6,8H,3-4H2,1-2H3",CCC(CC(C)=O)OO,0,0,0,1
C6KET24O,"InChI=1S/C6H11O2/c1-3-6(8)4-5(2)7/h6H,3-4H2,1-2H3",CCC(CC(C)=O)[O],0,0,0,1
C6KET25,"InChI=1S/C6H12O3/c1-5(7)3-4-6(2)9-8/h6,8H,3-4H2,1-2H3",CC(CCC(C)OO)=O,0,0,0,1
C6KET25O,"InChI=1S/C6H11O2/c1-5(7)3-4-6(2)8/h5H,3-4H2,1-2H3",CC(CCC(C)=O)[O],0,0,0,1
C6KET26,"InChI=1S/C6H12O3/c1-6(7)4-2-3-5-9-8/h8H,2-5H2,1H3",CC(CCCCOO)=O,0,0,0,1
C6KET26O,"InChI=1S/C6H11O2/c1-6(8)4-2-3-5-7/h2-5H2,1H3",CC(CCCC[O])=O,0,0,0,1
C6KET31,"InChI=1S/C6H12O3/c1-2-3-6(7)4-5-9-8/h8H,2-5H2,1H3",CCCC(CCOO)=O,0,0,0,1
C6KET31O,"InChI=1S/C6H11O2/c1-2-3-6(8)4-5-7/h2-5H2,1H3",CCCC(CC[O])=O,0,0,0,1
C6KET32,"InChI=1S/C6H12O3/c1-3-4-6(7)5(2)9-8/h5,8H,3-4H2,1-2H3",CCCC(C(C)OO)=O,0,0,0,1
C6KET32O,"InChI=1S/C6H11O2/c1-3-4-6(8)5(2)7/h5H,3-4H2,1-2H3",CCCC(C(C)[O])=O,0,0,0,1
C6KET34,"InChI=1S/C6H12O3/c1-3-5(7)6(4-2)9-8/h6,8H,3-4H2,1-2H3",CCC(C(CC)OO)=O,0,0,0,1
C6KET34O,"InChI=1S/C6H11O2/c1-3-5(7)6(8)4-2/h5H,3-4H2,1-2H3",CCC(C(CC)=O)[O],0,0,0,1
C6KET35,"InChI=1S/C6H12O3/c1-3-6(7)4-5(2)9-8/h5,8H,3-4H2,1-2H3",CCC(CC(C)OO)=O,0,0,0,1
C6KET35O,"InChI=1S/C6H11O2/c1-3-6(8)4-5(2)7/h5H,3-4H2,1-2H3",CCC(CC(C)[O])=O,0,0,0,1
C6KET36,"InChI=1S/C6H12O3/c1-2-6(7)4-3-5-9-8/h8H,2-5H2,1H3",CCC(CCCOO)=O,0,0,0,1
C6KET36O,"InChI=1S/C6H11O2/c1-2-6(8)4-3-5-7/h2-5H2,1H3",CCC(CCC[O])=O,0,0,0,1
C6H11Q12-3,"InChI=1S/C6H13O4/c1-2-3-4-6(10-8)5-9-7/h4,6-8H,2-3,5H2,1H3",CCC[CH]C(COO)OO,0,0,0,1
C6H11-2D1OOH,"InChI=1S/C6H12O2/c1-2-3-4-5-6-8-7/h4-5,7H,2-3,6H2,1H3",CCCC=CCOO,0,0,0,1
C6H11Q13-2,"InChI=1S/C6H13O4/c1-2-3-6(10-8)4-5-9-7/h4,6-8H,2-3,5H2,1H3",CCCC([CH]COO)OO,0,0,0,1
C6H11-1D3OOH,"InChI=1S/C6H12O2/c1-3-5-6(4-2)8-7/h4,6-7H,2-3,5H2,1H3",CCCC(C=C)OO,0,0,0,1
C6H11Q13-4,"InChI=1S/C6H13O4/c1-2-3-6(10-8)4-5-9-7/h3,6-8H,2,4-5H2,1H3",CC[CH]C(CCOO)OO,0,0,0,1
C6H11-3D1OOH,"InChI=1S/C6H12O2/c1-2-3-4-5-6-8-7/h3-4,7H,2,5-6H2,1H3",CCC=CCCOO,0,0,0,1
C6H11Q14-2,"InChI=1S/C6H13O4/c1-2-6(10-8)4-3-5-9-7/h3,6-8H,2,4-5H2,1H3",CCC(C[CH]COO)OO,0,0,0,1
C6H11-1D4OOH,"InChI=1S/C6H12O2/c1-3-5-6(4-2)8-7/h3,6-7H,1,4-5H2,2H3",C=CCC(CC)OO,0,0,0,1
C6H11Q14-3,"InChI=1S/C6H13O4/c1-2-6(10-8)4-3-5-9-7/h4,6-8H,2-3,5H2,1H3",CCC([CH]CCOO)OO,0,0,0,1
C6H11Q14-5,"InChI=1S/C6H13O4/c1-2-6(10-8)4-3-5-9-7/h2,6-8H,3-5H2,1H3",C[CH]C(CCCOO)OO,0,0,0,1
C6H11-2D6OOH,"InChI=1S/C6H12O2/c1-2-3-4-5-6-8-7/h2-3,7H,4-6H2,1H3",CC=CCCCOO,0,0,0,1
C6H11Q15-2,"InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h3,6-8H,2,4-5H2,1H3",CC(CC[CH]COO)OO,0,0,0,1
C6H11-1D5OOH,"InChI=1S/C6H12O2/c1-3-4-5-6(2)8-7/h3,6-7H,1,4-5H2,2H3",C=CCCC(C)OO,0,0,0,1
C6H11Q15-4,"InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h4,6-8H,2-3,5H2,1H3",CC([CH]CCCOO)OO,0,0,0,1
C6H11Q15-6,"InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h6-8H,1-5H2",[CH2]C(CCCCOO)OO,0,0,0,1
C6H11-1D6OOH,"InChI=1S/C6H12O2/c1-2-3-4-5-6-8-7/h2,7H,1,3-6H2",C=CCCCCOO,0,0,0,1
C6H11Q23-1,"InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h5-8H,2-4H2,1H3",CCCC(C([CH2])OO)OO,0,0,0,1
C6H11Q23-4,"InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h4-8H,3H2,1-2H3",CC[CH]C(C(C)OO)OO,0,0,0,1
C6H11-3D2OOH,"InChI=1S/C6H12O2/c1-3-4-5-6(2)8-7/h4-7H,3H2,1-2H3",CCC=CC(C)OO,0,0,0,1
C6H11Q24-1,"InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h5-8H,2-4H2,1H3",CCC(CC([CH2])OO)OO,0,0,0,1
C6H11Q24-3,"InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h4-8H,3H2,1-2H3",CCC([CH]C(C)OO)OO,0,0,0,1
C6H11-2D4OOH,"InChI=1S/C6H12O2/c1-3-5-6(4-2)8-7/h3,5-7H,4H2,1-2H3",CC=CC(CC)OO,0,0,0,1
C6H11Q24-5,"InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h3,5-8H,4H2,1-2H3",C[CH]C(CC(C)OO)OO,0,0,0,1
C6H11-2D5OOH,"InChI=1S/C6H12O2/c1-3-4-5-6(2)8-7/h3-4,6-7H,5H2,1-2H3",CC=CCC(C)OO,0,0,0,1
C6H11Q25-1,"InChI=1S/C6H13O4/c1-5(9-7)3-4-6(2)10-8/h5-8H,1,3-4H2,2H3",[CH2]C(CCC(C)OO)OO,0,0,0,1
C6H11Q25-3,"InChI=1S/C6H13O4/c1-5(9-7)3-4-6(2)10-8/h3,5-8H,4H2,1-2H3",CC([CH]CC(C)OO)OO,0,0,0,1
C6H11Q34-2,"InChI=1S/C6H13O4/c1-3-5(9-7)6(4-2)10-8/h3,5-8H,4H2,1-2H3",C[CH]C(C(CC)OO)OO,0,0,0,1
C6H11O13-2OOH,"InChI=1S/C6H12O3/c1-2-3-5-6(9-7)4-8-5/h5-7H,2-4H2,1H3",CCCC1OCC1OO,0,0,0,1
C6H11O23-1OOH,"InChI=1S/C6H12O3/c1-2-3-5-6(9-5)4-8-7/h5-7H,2-4H2,1H3",CCCC1OC1COO,0,0,0,1
C6H11Q12-4,"InChI=1S/C6H13O4/c1-2-3-4-6(10-8)5-9-7/h3,6-8H,2,4-5H2,1H3",CC[CH]CC(COO)OO,0,0,0,1
C6H11O14-2OOH,"InChI=1S/C6H12O3/c1-2-5-3-6(9-7)4-8-5/h5-7H,2-4H2,1H3",CCC1OCC(C1)OO,0,0,0,1
C6H11O24-1OOH,"InChI=1S/C6H12O3/c1-2-5-3-6(9-5)4-8-7/h5-7H,2-4H2,1H3",CCC1OC(C1)COO,0,0,0,1
C6H11Q12-5,"InChI=1S/C6H13O4/c1-2-3-4-6(10-8)5-9-7/h2,6-8H,3-5H2,1H3",C[CH]CCC(COO)OO,0,0,0,1
C6H11O15-2OOH,"InChI=1S/C6H12O3/c1-5-2-3-6(9-7)4-8-5/h5-7H,2-4H2,1H3",CC1OCC(CC1)OO,0,0,0,1
C6H11O25-1OOH,"InChI=1S/C6H12O3/c1-5-2-3-6(9-5)4-8-7/h5-7H,2-4H2,1H3",CC1OC(CC1)COO,0,0,0,1
C6H11Q12-6,"InChI=1S/C6H13O4/c1-2-3-4-6(10-8)5-9-7/h6-8H,1-5H2",[CH2]CCCC(COO)OO,0,0,0,1
C6H11O15-6OOH,"InChI=1S/C6H12O3/c7-9-5-6-3-1-2-4-8-6/h6-7H,1-5H2",OOCC1OCCCC1,0,0,0,1
C6H11O12-3OOH,"InChI=1S/C6H12O3/c1-2-3-5(9-7)6-4-8-6/h5-7H,2-4H2,1H3",CCCC(C1OC1)OO,0,0,0,1
C6H11O14-3OOH,"InChI=1S/C6H12O3/c1-2-5-6(9-7)3-4-8-5/h5-7H,2-4H2,1H3",CCC1OCCC1OO,0,0,0,1
C6H11O34-1OOH,"InChI=1S/C6H12O3/c1-2-5-6(9-5)3-4-8-7/h5-7H,2-4H2,1H3",CCC1OC1CCOO,0,0,0,1
C6H11Q13-5,"InChI=1S/C6H13O4/c1-2-3-6(10-8)4-5-9-7/h2,6-8H,3-5H2,1H3",C[CH]CC(CCOO)OO,0,0,0,1
C6H11O15-3OOH,"InChI=1S/C6H12O3/c1-5-4-6(9-7)2-3-8-5/h5-7H,2-4H2,1H3",CC1OCCC(C1)OO,0,0,0,1
C6H11O24-6OOH,"InChI=1S/C6H12O3/c1-5-4-6(9-5)2-3-8-7/h5-7H,2-4H2,1H3",CC1OC(CCOO)C1,0,0,0,1
C6H11Q13-6,"InChI=1S/C6H13O4/c1-2-3-6(10-8)4-5-9-7/h6-8H,1-5H2",[CH2]CCC(CCOO)OO,0,0,0,1
C6H11O14-6OOH,"InChI=1S/C6H12O3/c7-9-5-3-6-2-1-4-8-6/h6-7H,1-5H2",OOCCC1OCCC1,0,0,0,1
C6H11O12-4OOH,"InChI=1S/C6H12O3/c1-2-5(9-7)3-6-4-8-6/h5-7H,2-4H2,1H3",CCC(CC1OC1)OO,0,0,0,1
C6H11O13-4OOH,"InChI=1S/C6H12O3/c1-2-5(9-7)6-3-4-8-6/h5-7H,2-4H2,1H3",CCC(C1OCC1)OO,0,0,0,1
C6H11O15-4OOH,"InChI=1S/C6H12O3/c1-5-6(9-7)3-2-4-8-5/h5-7H,2-4H2,1H3",CC1OCCCC1OO,0,0,0,1
C6H11O23-6OOH,"InChI=1S/C6H12O3/c1-5-6(9-5)3-2-4-8-7/h5-7H,2-4H2,1H3",CC1OC1CCCOO,0,0,0,1
C6H11Q14-6,"InChI=1S/C6H13O4/c1-2-6(10-8)4-3-5-9-7/h6-8H,1-5H2",[CH2]CC(CCCOO)OO,0,0,0,1
C6H11O13-6OOH,"InChI=1S/C6H12O3/c7-9-4-1-2-6-3-5-8-6/h6-7H,1-5H2",OOCCCC1OCC1,0,0,0,1
C6H11O12-5OOH,"InChI=1S/C6H12O3/c1-5(9-7)2-3-6-4-8-6/h5-7H,2-4H2,1H3",CC(CCC1OC1)OO,0,0,0,1
C6H11Q15-3,"InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h2,6-8H,3-5H2,1H3",CC(C[CH]CCOO)OO,0,0,0,1
C6H11O13-5OOH,"InChI=1S/C6H12O3/c1-5(9-7)4-6-2-3-8-6/h5-7H,2-4H2,1H3",CC(CC1OCC1)OO,0,0,0,1
C6H11O14-5OOH,"InChI=1S/C6H12O3/c1-5(9-7)6-3-2-4-8-6/h5-7H,2-4H2,1H3",CC(C1OCCC1)OO,0,0,0,1
C6H11O12-6OOH,"InChI=1S/C6H12O3/c7-9-4-2-1-3-6-5-8-6/h6-7H,1-5H2",OOCCCCC1OC1,0,0,0,1
C6H11O24-3OOH,"InChI=1S/C6H12O3/c1-3-5-6(9-7)4(2)8-5/h4-7H,3H2,1-2H3",CCC1OC(C)C1OO,0,0,0,1
C6H11O34-2OOH,"InChI=1S/C6H12O3/c1-3-5-6(8-5)4(2)9-7/h4-7H,3H2,1-2H3",CCC1OC1C(C)OO,0,0,0,1
C6H11Q23-5,"InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h3,5-8H,4H2,1-2H3",C[CH]CC(C(C)OO)OO,0,0,0,1
C6H11O25-3OOH,"InChI=1S/C6H12O3/c1-4-3-6(9-7)5(2)8-4/h4-7H,3H2,1-2H3",CC1OC(C)C(C1)OO,0,0,0,1
C6H11O24-5OOH,"InChI=1S/C6H12O3/c1-4-3-6(8-4)5(2)9-7/h4-7H,3H2,1-2H3",CC1OC(C1)C(C)OO,0,0,0,1
C6H11Q23-6,"InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h5-8H,1,3-4H2,2H3",[CH2]CCC(C(C)OO)OO,0,0,0,1
C6H11O23-4OOH,"InChI=1S/C6H12O3/c1-3-5(9-7)6-4(2)8-6/h4-7H,3H2,1-2H3",CCC(C1OC1C)OO,0,0,0,1
C6H11O23-5OOH,"InChI=1S/C6H12O3/c1-4(9-7)3-6-5(2)8-6/h4-7H,3H2,1-2H3",CC(CC1OC1C)OO,0,0,0,1
C6H11Q24-6,"InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h5-8H,1,3-4H2,2H3",[CH2]CC(CC(C)OO)OO,0,0,0,1
C6H11Q34-1,"InChI=1S/C6H13O4/c1-3-5(9-7)6(4-2)10-8/h5-8H,1,3-4H2,2H3",[CH2]CC(C(CC)OO)OO,0,0,0,1
C5H9O12-5,"InChI=1S/C5H9O/c1-2-3-5-4-6-5/h5H,1-4H2",[CH2]CCC1OC1,0,0,0,1
C5H9O13-5,"InChI=1S/C5H9O/c1-2-5-3-4-6-5/h5H,1-4H2",[CH2]CC1OCC1,0,0,0,1
C5H9O14-5,"InChI=1S/C5H9O/c1-5-3-2-4-6-5/h5H,1-4H2",[CH2]C1OCCC1,0,0,0,1
C5H9O23-5,"InChI=1S/C5H9O/c1-3-5-4(2)6-5/h4-5H,1,3H2,2H3",[CH2]CC1OC1C,0,0,0,1
C5H9O24-1,"InChI=1S/C5H9O/c1-4-3-5(2)6-4/h4-5H,1,3H2,2H3",[CH2]C1OC(C)C1,0,0,0,1
C5H9O23-1,"InChI=1S/C5H9O/c1-3-5-4(2)6-5/h4-5H,2-3H2,1H3",CCC1OC1[CH2],0,0,0,1
C6H12O1-2,"InChI=1S/C6H12O/c1-2-3-4-6-5-7-6/h6H,2-5H2,1H3",CCCCC1OC1,0,0,0,1
C6H12O1-3,"InChI=1S/C6H12O/c1-2-3-6-4-5-7-6/h6H,2-5H2,1H3",CCCC1OCC1,0,0,0,1
C6H12O1-4,"InChI=1S/C6H12O/c1-2-6-4-3-5-7-6/h6H,2-5H2,1H3",CCC1OCCC1,0,0,0,1
C6H12O1-5,"InChI=1S/C6H12O/c1-6-4-2-3-5-7-6/h6H,2-5H2,1H3",CC1OCCCC1,0,0,0,1
C6H12O2-3,"InChI=1S/C6H12O/c1-3-4-6-5(2)7-6/h5-6H,3-4H2,1-2H3",CCCC1OC1C,0,0,0,1
C6H12O2-4,"InChI=1S/C6H12O/c1-3-6-4-5(2)7-6/h5-6H,3-4H2,1-2H3",CCC1OC(C)C1,0,0,0,1
C6H12O2-5,"InChI=1S/C6H12O/c1-5-3-4-6(2)7-5/h5-6H,3-4H2,1-2H3",CC1OC(C)CC1,0,0,0,1
C6H12O3-4,"InChI=1S/C6H12O/c1-3-5-6(4-2)7-5/h5-6H,3-4H2,1-2H3",CCC1OC1CC,0,0,0,1
C6H13O2-1,"InChI=1S/C6H13O2/c1-2-3-4-5-6-8-7/h2-6H2,1H3",CCCCCCO[O],0,0,0,1
C6H13O-1,"InChI=1S/C6H13O/c1-2-3-4-5-6-7/h2-6H2,1H3",CCCCCC[O],0,0,0,1
C6H13O2-2,"InChI=1S/C6H13O2/c1-3-4-5-6(2)8-7/h6H,3-5H2,1-2H3",CCCCC(C)O[O],0,0,0,1
C6H13O-2,"InChI=1S/C6H13O/c1-3-4-5-6(2)7/h6H,3-5H2,1-2H3",CCCCC(C)[O],0,0,0,1
C6H13O2-3,"InChI=1S/C6H13O2/c1-3-5-6(4-2)8-7/h6H,3-5H2,1-2H3",CCCC(CC)O[O],0,0,0,1
C6H13O-3,"InChI=1S/C6H13O/c1-3-5-6(7)4-2/h6H,3-5H2,1-2H3",CCCC(CC)[O],0,0,0,1
C6H12OOH1-2O2,"InChI=1S/C6H13O4/c1-2-3-4-6(10-8)5-9-7/h6-7H,2-5H2,1H3",CCCCC(COO)O[O],0,0,0,1
C6H12OOH1-2O,"InChI=1S/C6H13O3/c1-2-3-4-6(7)5-9-8/h6,8H,2-5H2,1H3",CCCCC(COO)[O],0,0,0,1
C6H12OOH1-3O2,"InChI=1S/C6H13O4/c1-2-3-6(10-8)4-5-9-7/h6-7H,2-5H2,1H3",CCCC(CCOO)O[O],0,0,0,1
C6H12OOH1-3O,"InChI=1S/C6H13O3/c1-2-3-6(7)4-5-9-8/h6,8H,2-5H2,1H3",CCCC(CCOO)[O],0,0,0,1
C6H12OOH1-4O2,"InChI=1S/C6H13O4/c1-2-6(10-8)4-3-5-9-7/h6-7H,2-5H2,1H3",CCC(CCCOO)O[O],0,0,0,1
C6H12OOH1-4O,"InChI=1S/C6H13O3/c1-2-6(7)4-3-5-9-8/h6,8H,2-5H2,1H3",CCC(CCCOO)[O],0,0,0,1
C6H12OOH1-5O2,"InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h6-7H,2-5H2,1H3",CC(CCCCOO)O[O],0,0,0,1
C6H12OOH1-5O,"InChI=1S/C6H13O3/c1-6(7)4-2-3-5-9-8/h6,8H,2-5H2,1H3",CC(CCCCOO)[O],0,0,0,1
C6H12OOH2-1O2,"InChI=1S/C6H13O4/c1-2-3-4-6(10-8)5-9-7/h6,8H,2-5H2,1H3",CCCCC(CO[O])OO,0,0,0,1
C6H12OOH2-1O,"InChI=1S/C6H13O3/c1-2-3-4-6(5-7)9-8/h6,8H,2-5H2,1H3",CCCCC(C[O])OO,0,0,0,1
C6H12OOH2-3O2,"InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h5-7H,3-4H2,1-2H3",CCCC(C(C)OO)O[O],0,0,0,1
C6H12OOH2-3O,"InChI=1S/C6H13O3/c1-3-4-6(7)5(2)9-8/h5-6,8H,3-4H2,1-2H3",CCCC(C(C)OO)[O],0,0,0,1
C6H12OOH2-4O2,"InChI=1S/C6H13O4/c1-3-6(10-8)4-5(2)9-7/h5-7H,3-4H2,1-2H3",CCC(CC(C)OO)O[O],0,0,0,1
C6H12OOH2-4O,"InChI=1S/C6H13O3/c1-3-6(7)4-5(2)9-8/h5-6,8H,3-4H2,1-2H3",CCC(CC(C)OO)[O],0,0,0,1
C6H12OOH2-5O2,"InChI=1S/C6H13O4/c1-5(9-7)3-4-6(2)10-8/h5-7H,3-4H2,1-2H3",CC(CCC(C)O[O])OO,0,0,0,1
C6H12OOH2-5O,"InChI=1S/C6H13O3/c1-5(7)3-4-6(2)9-8/h5-6,8H,3-4H2,1-2H3",CC(CCC(C)OO)[O],0,0,0,1
C6H12OOH2-6O2,"InChI=1S/C6H13O4/c1-6(10-8)4-2-3-5-9-7/h6,8H,2-5H2,1H3",CC(CCCCO[O])OO,0,0,0,1
C6H12OOH2-6O,"InChI=1S/C6H13O3/c1-6(9-8)4-2-3-5-7/h6,8H,2-5H2,1H3",CC(CCCC[O])OO,0,0,0,1
C6H12OOH3-1O2,"InChI=1S/C6H13O4/c1-2-3-6(10-8)4-5-9-7/h6,8H,2-5H2,1H3",CCCC(CCO[O])OO,0,0,0,1
C6H12OOH3-1O,"InChI=1S/C6H13O3/c1-2-3-6(9-8)4-5-7/h6,8H,2-5H2,1H3",CCCC(CC[O])OO,0,0,0,1
C6H12OOH3-2O2,"InChI=1S/C6H13O4/c1-3-4-6(10-8)5(2)9-7/h5-6,8H,3-4H2,1-2H3",CCCC(C(C)O[O])OO,0,0,0,1
